Multi Channel DataManager 1.8.4.0 ASCII Export
File version: 1
Stream label: Data Acquisition (1);MEA2100; Electrode Raw Data1
Stream type: Analog
Data subtype: Electrode

TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],r<ef (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
2000,3278275,-3218670,715260,-1609335,-2741830,1788150,-4172350,4887610,-1728545,6556550,-1847755,-1490125,1192100,3874325,-119210,2801435,2145780,1907360,-1430520,1370915,5543265,1490125,2086175,1072890,1788150,-596050,4708795,1251705,417235,-1251705,-953680,10013640,7867860,-7867860,-715260,-715260,3039855,2086175,4887610,6556550,5006820,-1907360,-1311310,3516695,4947215,4589585,8106280,4112745,476840,-357630,-7927465,-9715615,1668940,4112745,1966965,5602870,3516695,4708795,-2920645,2503410
2100,7331415,3635905,-2205385,894075,2324595,834470,-1728545,2443805,1013285,-715260,-5364450,-3337880,3635905,-3695510,-655655,2622620,3695510,2503410,715260,655655,1609335,2086175,3635905,-2026570,6079710,-1013285,5185635,1728545,-4351165,3933930,5722080,3635905,3159065,-298025,-2682225,4410770,7748650,1847755,6437340,3218670,7092995,3278275,4231955,5602870,1370915,1132495,4649190,2264990,3457090,-3695510,-5960500,178815,12159420,9834825,8642725,8761935,3874325,3337880,-4768400,715260
2200,4708795,-119210,-1370915,3159065,3516695,119210,-119210,119210,3635905,-2861040,2861040,-3576300,-178815,-7331415,-1847755,5841290,2920645,-5364450,-1192100,-3457090,4291560,-4351165,5543265,0,5364450,-1430520,10550085,-2861040,-5006820,596050,1668940,417235,5602870,-655655,-6556550,-1966965,5006820,3218670,-178815,5364450,-2026570,-2145780,2443805,-5483660,-1370915,4828005,1370915,-119210,2741830,-1728545,-59605,6079710,10550085,5304845,8225490,5960500,238420,2920645,-6556550,1251705
2300,-4589585,-596050,-1370915,1668940,238420,-4529980,-2563015,-655655,-536445,-1609335,1668940,-2384200,1192100,-5364450,-1132495,5781685,119210,1728545,953680,-3218670,2741830,-5006820,1251705,0,417235,-2324595,1907360,3099460,2503410,417235,-298025,-715260,3099460,7391020,-3218670,-2861040,2563015,1370915,2622620,-1907360,1013285,-3635905,-3218670,-5662475,-1490125,2563015,-4172350,-3457090,3457090,-1311310,59605,1668940,8404305,-3159065,2563015,298025,1966965,298025,-6258525,2324595
2400,-119210,774865,-4231955,3039855,1847755,-4172350,1311310,1490125,-59605,-3159065,-4649190,-5424055,-238420,-2801435,-1788150,655655,-2861040,2920645,-298025,-2264990,1668940,-1907360,-3099460,-596050,-4351165,-1013285,894075,8881145,-774865,894075,-2801435,1013285,-298025,1132495,-3755115,1072890,4410770,-3814720,-1549730,5364450,-119210,2980250,1788150,2980250,-1370915,1251705,-5483660,-4112745,5245240,4768400,-4231955,3755115,5781685,3337880,655655,2682225,-2801435,655655,-3516695,-2801435
2500,-5841290,-1072890,-2086175,-417235,7092995,417235,-1251705,2920645,-894075,1907360,-3337880,2920645,4589585,3397485,-2086175,834470,1966965,1549730,1847755,2145780,5602870,357630,2205385,2801435,-298025,4351165,11026925,4529980,2205385,4529980,-2563015,5245240,-1132495,-2622620,2086175,4947215,4708795,-1728545,4947215,7391020,3635905,8702330,3993535,-1966965,5602870,3159065,-2920645,-1311310,7808255,4470375,-3278275,9775220,12636260,4768400,4708795,7092995,-7748650,-476840,0,-1490125
2600,-1728545,-1966965,4887610,-2682225,3993535,-1013285,-1430520,536445,-3218670,2503410,-2264990,1788150,4828005,119210,-596050,2503410,-3337880,834470,-1847755,2026570,1728545,-59605,2086175,1907360,5126030,-715260,4649190,-1251705,3814720,5006820,-774865,774865,1490125,-1728545,4828005,834470,-298025,4291560,5722080,-417235,1192100,3159065,3337880,-5722080,6735365,-2622620,774865,-1668940,3933930,-3516695,-1192100,10371270,2324595,2682225,3635905,-1072890,-6437340,774865,1728545,3099460
2700,6854575,1668940,1192100,-2443805,4649190,1549730,-1192100,3099460,-4410770,-1490125,4351165,1907360,5304845,-655655,-1072890,3278275,1609335,1490125,-1728545,-1311310,2741830,-1370915,3039855,-3516695,-1549730,59605,1966965,-894075,1370915,1370915,3397485,1013285,2861040,-1788150,1668940,1311310,2682225,2622620,7152600,1490125,5543265,12636260,1490125,1132495,953680,1132495,596050,2384200,298025,-7629440,-476840,10132850,5245240,4351165,1430520,4529980,-2801435,-3039855,-238420,-1072890
2800,7927465,59605,-3039855,-2503410,3397485,-2801435,-4172350,-1072890,-1728545,-5602870,1132495,1430520,4887610,3993535,-1907360,-2622620,4768400,4351165,1132495,-59605,3039855,-4708795,2443805,-2503410,-4529980,-894075,6020105,-1013285,-4649190,2801435,119210,-715260,3993535,5126030,-3516695,-1192100,357630,6675760,9298380,3159065,1430520,11265345,-59605,-1609335,-1609335,-1668940,2264990,-5245240,-3516695,-2622620,1728545,13113100,10430875,5424055,-1788150,3576300,-4529980,-3516695,2980250,-4470375
2900,834470,-5483660,-3635905,-2801435,-5126030,-5424055,-4470375,-3635905,-6198920,-9119565,-6079710,2324595,3397485,-1788150,-2682225,-4589585,-3039855,417235,1788150,-1847755,-596050,-6914180,-6854575,-5304845,59605,-6020105,1668940,-1490125,-2920645,0,-6020105,-834470,-476840,1132495,-1907360,-3933930,2741830,1907360,4828005,-1728545,-3814720,834470,-5722080,-2264990,655655,-1847755,-4410770,-5364450,-2205385,-2980250,-5960500,3874325,-2324595,894075,-3695510,-4112745,-5781685,-2086175,-1311310,-3516695
3000,119210,-953680,2503410,-596050,-5006820,178815,-3099460,-1013285,-1370915,-4053140,-4112745,2861040,1430520,357630,-2086175,-1728545,-6139315,2324595,1549730,-2324595,2622620,-3457090,-3635905,-596050,-178815,-4589585,3278275,3337880,298025,655655,-2741830,1966965,-1072890,1072890,2622620,-298025,3099460,6318130,2741830,6198920,-417235,-357630,1132495,5722080,3337880,6914180,-1430520,-2682225,4172350,-1192100,-2741830,3099460,1549730,2980250,178815,2622620,-2324595,-1966965,1966965,-3278275
3100,-1847755,-476840,-2801435,1013285,-2920645,-6556550,-3159065,-4649190,-2205385,-5662475,-4649190,-4410770,-2145780,2324595,-1072890,-4053140,-7569835,-417235,-119210,-3039855,-6377735,-2563015,-5066425,-3695510,-3576300,-3635905,596050,-2980250,-715260,-4053140,-2384200,3695510,-2980250,1370915,-4172350,-2503410,-2086175,59605,-2682225,-1728545,1072890,-238420,-2324595,3278275,-1311310,4828005,4172350,-9536800,2503410,-6556550,4589585,6973785,5960500,-1966965,-1907360,-3099460,-2264990,1370915,-4351165,-3099460
3200,-11146135,-6437340,-11861395,-6258525,-13232310,-19848465,-10252060,-11384555,-8642725,-14901250,-11622975,-5900895,-3457090,-11980605,-953680,-13351520,-9179170,-10311665,-4112745,-12993890,-12338235,-10013640,-15497300,-10252060,-6973785,-12815075,-12397840,-6675760,-5185635,-8881145,-6854575,-7867860,-11086530,-9298380,-9715615,-6616155,-8225490,-7808255,-7748650,-6198920,-15318485,-16987425,-16868215,-7092995,-5126030,-10490480,-4172350,-17345055,-1072890,-13232310,-32246305,-28670005,-33676825,-15676115,-9775220,-8106280,-11503765,-5245240,-7689045,-6675760
3300,6437340,2861040,-2086175,4351165,-4410770,-9000355,-2205385,-1311310,834470,-357630,-119210,6854575,3993535,-4112745,-953680,-4351165,357630,3457090,4708795,-1251705,-3695510,-2384200,-1966965,3397485,1490125,-953680,-476840,6616155,894075,-59605,3874325,3457090,-357630,1668940,-1668940,-2801435,-2682225,5543265,1907360,3635905,-6973785,-1013285,-7271810,2443805,2264990,-1072890,-1609335,-1072890,8642725,5304845,-28729610,-19729255,-34094060,-4708795,-357630,4231955,-1668940,1966965,-834470,2205385
3400,9596405,1668940,-2801435,5960500,-894075,-1132495,-3159065,715260,2086175,-59605,-3993535,1132495,3039855,-3039855,417235,-3874325,953680,1013285,2503410,1370915,894075,953680,1370915,2801435,-1728545,715260,-1192100,1430520,-1192100,7152600,-5543265,6020105,4887610,2563015,-3099460,1549730,2384200,7271810,-2503410,1668940,-5722080,4231955,-1430520,-1728545,-715260,2563015,298025,-59605,7629440,7927465,-19252415,-11026925,-19133205,655655,5424055,4708795,119210,655655,4410770,-3933930
3500,4947215,2682225,4708795,953680,-774865,-1072890,3457090,2205385,5602870,-4828005,1549730,4887610,5722080,5424055,1072890,8225490,2443805,1072890,4828005,-834470,2622620,2801435,1251705,-655655,-1549730,3635905,5126030,2682225,3159065,6139315,-4708795,5722080,2145780,3933930,-8285095,59605,5841290,3874325,774865,655655,-4410770,4708795,-1966965,0,1072890,6258525,4529980,-655655,7510230,834470,-6914180,-357630,-12159420,2145780,5900895,7748650,119210,417235,3993535,-5006820
3600,298025,2324595,2563015,-3933930,-2801435,-1251705,3635905,-1549730,3218670,-4708795,1311310,0,2682225,7271810,-1311310,4470375,-59605,4708795,119210,2145780,3695510,-238420,1311310,-2920645,-953680,-1966965,3397485,-2264990,5245240,655655,774865,3397485,-655655,2563015,-59605,3099460,1132495,4887610,1311310,3397485,-9000355,1251705,-6496945,-7927465,1430520,-6735365,-119210,-1192100,5304845,-2503410,-3457090,2086175,-3635905,-715260,3099460,4410770,-3397485,-417235,-59605,-6496945
3700,2086175,-1370915,2741830,1192100,5960500,6377735,1728545,1132495,5424055,-5364450,-1966965,59605,7808255,3755115,-953680,5602870,3159065,7271810,1072890,-417235,-536445,-119210,-1788150,2980250,1907360,-5781685,-1132495,-536445,2920645,-1788150,2086175,-1788150,2861040,-2682225,4231955,59605,-1132495,3635905,-2086175,6675760,-2980250,-715260,-3933930,-2920645,5841290,-5781685,7748650,0,7152600,-1490125,-476840,1370915,1430520,-4112745,238420,-476840,-1311310,-59605,4887610,-9715615
3800,476840,-3516695,3635905,-2086175,4053140,1668940,1370915,-476840,4112745,-2861040,-5781685,-1192100,2920645,238420,1490125,1132495,2443805,3874325,1788150,-1311310,-2026570,3397485,-774865,-2086175,1728545,1311310,2682225,238420,-1192100,-2682225,-59605,-3337880,-178815,-5364450,298025,-3099460,-1907360,1251705,-1966965,2324595,-3099460,834470,-2682225,1132495,-119210,-5602870,2980250,119210,5126030,-5781685,-5245240,-1549730,-1609335,59605,1013285,3933930,-3814720,417235,-3755115,-7629440
3900,-4828005,-2205385,-5066425,596050,-3218670,-2384200,-894075,-6973785,-2920645,-5662475,-5602870,-5066425,-3576300,-4231955,1013285,-3039855,-2503410,-2503410,-2801435,-2324595,-2741830,-4470375,-715260,-2264990,4529980,178815,1966965,-1728545,-2026570,-5126030,-4410770,-2205385,1609335,-8881145,-2145780,-5066425,-2801435,-3576300,-238420,-7987070,-5424055,1430520,-7331415,1311310,-4112745,-13589940,4291560,-3159065,-1490125,-8881145,-11921000,-5543265,-7271810,1907360,2741830,1192100,-2086175,-1192100,-2741830,-6914180
4000,1370915,-3457090,3218670,4231955,-4768400,655655,178815,2145780,1370915,-2324595,-1430520,-3755115,4351165,-2920645,953680,3933930,-1609335,3397485,1072890,2324595,5245240,-2205385,2264990,1668940,6854575,1430520,-1013285,-119210,4708795,-1311310,-1192100,-953680,3874325,-2026570,-3278275,-417235,357630,-953680,5006820,298025,774865,9536800,-715260,2563015,1490125,-5185635,2443805,4529980,1728545,3099460,-9238775,-1788150,-2980250,6020105,5126030,4768400,-59605,7092995,715260,2324595
4100,7033390,-5066425,-2205385,-357630,-6556550,4649190,-1013285,178815,1430520,596050,-3337880,-1132495,1609335,-2980250,1192100,-357630,3635905,2145780,-1609335,8225490,3159065,3159065,1192100,-1907360,3814720,-2264990,655655,4172350,5424055,1847755,-6258525,1907360,2324595,-59605,-774865,-8165885,-715260,1728545,-6020105,3397485,-6437340,6437340,-5543265,1668940,-298025,-4351165,5900895,-715260,-953680,-2026570,-11563370,1013285,-1132495,7212205,417235,4470375,-2920645,3516695,-6020105,4112745
4200,-298025,4172350,-2801435,1072890,-7152600,-2563015,-2861040,1490125,-2145780,-3218670,-8165885,-5781685,-2384200,-3814720,-1072890,-4708795,119210,-1966965,-4291560,1728545,1192100,-1490125,-2205385,-3337880,1490125,-298025,2801435,5066425,3755115,-3874325,-6854575,-2264990,-953680,-10430875,-476840,-8702330,238420,-2741830,-7391020,-536445,-4947215,4053140,-2086175,655655,-4351165,-3874325,5245240,-8046675,-238420,-1549730,-17523870,-7629440,-2861040,1370915,-2980250,2563015,-7212205,1013285,-10073245,-119210
4300,1668940,-1370915,-2622620,9357985,-238420,1013285,0,4231955,3039855,2622620,2086175,-4828005,2205385,-3457090,-536445,3218670,-238420,1668940,774865,4410770,655655,-4172350,2622620,2086175,3457090,4172350,-1549730,1490125,9238775,1251705,476840,834470,715260,-7927465,1192100,-1907360,2980250,-3337880,1132495,2205385,-7212205,8165885,3337880,-655655,-894075,-3576300,3039855,357630,-715260,4470375,-1251705,-6973785,11622975,-3039855,536445,7212205,1192100,4708795,-1609335,-4053140
